His|Partner,num_of_PATRON_DEPT,8,图书馆,教务处,出版社,门诊部,图书馆1,公共经济管理学院,财经研究所,未知,法学院,会计学院,馆内,经济学院,继续教育学院,商学院,两办,公共经济与管理学院,数学学院,离退休工作处,金融学院,财务处,外语系,马克思主义理论教学科研部,信息化办公室,研究生院,人文学院,国际工商管理学院,信息管理与工程学院,统计与管理学院,马克思主义研究院,外国语学院,应用数学系,宣传部,国际教育学院,科研处,上财后勤实业中心,MPAcc中心,人事处,职业技术学院,MPACC,J.M中心,税务硕士（税收风险控制与管理）,体育教学部,国际文化交流学院,博士后流动站,党委组织部,医疗健康服务中心,中国公共财政研究院,上海市金融信息技术研究重点实验室,金融硕士（财富管理）,MPA学院,J.M教育中心,纪监处,合作发展处,MPA教育中心,应用统计硕士（金融投资与风险管理）,MPACC中心,MPA中心,高等教育研究院,档案馆,两办（党办、校办合署）,工程管理硕士（MEM）,纪监处（纪委、监察审计处合署）,统计学系,信息管理与工程,高等研究院,现代服务科学与技术研究中心,教育技术中心,发展规划处,国际处,高等教育研究所,total_num_of_partner,ratio_diffrent
科研处,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
上财后勤实业中心,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
信息管理与工程学院,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02804878048780488,0.003658536585365854,0.09146341463414634,0.16097560975609757,0.0,0.1402439024390244,0.0,0.0024390243902439024,0.0,0.2841463414634146,0.03536585365853658,0.0,0.15609756097560976,0.0,0.014634146341463415,0.0,0.0,0.0,0.08902439024390243,0.3329268292682927,0.7329268292682927,0.28292682926829266,0.015853658536585366,0.020731707317073172,0.00975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015853658536585366,0.00853658536585366,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012195121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0,0.6987468671679198
人事处,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
职业技术学院,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应用数学系,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041237113402061855,0.041237113402061855,0.0,0.041237113402061855,0.0,0.0,0.0,0.08247422680412371,0.08247422680412371,0.0,0.041237113402061855,0.0,0.0,0.0,0.0,0.0,0.020618556701030927,0.05154639175257732,0.08247422680412371,0.05154639175257732,0.0,0.0,0.4536082474226804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.5416666666666667
MPACC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
统计与管理学院,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462046204620462,0.0,0.1254125412541254,0.18151815181518152,0.0,0.19306930693069307,0.0,0.0033003300330033004,0.0,0.3415841584158416,0.04950495049504951,0.0,0.21122112211221122,0.0,0.013201320132013201,0.0,0.0,0.0,0.10396039603960396,0.47854785478547857,0.38283828382838286,1.2442244224422443,0.0231023102310231,0.019801980198019802,0.00825082508250825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024752475247524754,0.013201320132013201,0.0033003300330033004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006600660066006601,0.0,0.0,0.0,0.006600660066006601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2109.0,0.6424845898530109
马克思主义研究院,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5625,0.8125,0.0,0.75,0.0,0.0,0.0,0.875,0.125,0.0,0.4375,0.0,0.0625,0.0,0.0,0.0,0.375,1.5,0.8125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,1.0
国际文化交流学院,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06578947368421052,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.16981132075471694
